city,year,n_obs,population,alpha,beta,kappa,delta,psi_at_center,p_at_center,psi_at_mean,p_at_mean,zero_ratio_obs,zero_ratio_pred,mean_nonzero_count,remoteness_mean,remoteness_std,remoteness_range,logLik,AIC,BIC,pseudo_R2,MSE,RMSE,MAE,fit_time_sec,n_iterations,convergence,fit_message
Bangui,2016,15992001,815276,-0.95383305,0.3664033897482527,-1.062267405,-0.121682349,0.2781146183791101,0.2568763891596376,0.994721637794058,0.042336259089331,0.969696912850368,0.9697517458932756,1.8135437581380376,16.90126319507056,6.291748039166337,31.23017527808722,-1914658.644,3829325.287305461,3829383.637702332,0.1183271455533298,0.1108140631467861,0.3328874631865642,0.078911093789889,197.96826267242432,17,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Libreville,2016,15992001,768713,-0.707046414,0.2622958659391435,-0.65892423,-0.037648445,0.3302518029866381,0.3409813097045535,0.9794675705071002,0.2116229889459318,0.940929968676215,0.9409488890546678,2.6302622775891127,17.430888447669144,6.488886585638533,32.20721821308347,-4378533.36,8757074.720744086,8757133.071140958,-0.220115973,0.4717797085565955,0.6868622194855352,0.2331765992941367,178.4457983970642,14,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Constantine,2016,15996000,423520,0.9906311736769596,0.103505496704888,-0.631123056,-0.008244028,0.7292125729405979,0.3472559319910336,0.9605636359472974,0.3086316185048907,0.948543135783946,0.9485498563645218,2.974785689293212,21.276171732237565,8.066471239210353,39.40861470686321,-4642193.794,9284395.5888434,9284453.940240396,-0.431135843,0.5821945983961291,0.76301677464924,0.2763388331845318,155.58672404289246,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Bobo-Dioulasso,2016,15996000,794345,-1.142264991,0.4114662508295266,-0.804134078,-0.089464179,0.2419047486520655,0.3091418948052025,0.9971211929141464,0.0891626492309296,0.9673292698174544,0.9673535265754546,2.2236811640237963,16.98744743978874,6.324770809007445,31.38912387,-2156536.516,4313081.032353314,4313139.383750309,0.0631622511908249,0.1747962218560189,0.4180863808545058,0.1015925204256637,227.20905542373657,20,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Windhoek,2016,15996000,379580,-0.600826649,0.2521041210580459,-0.565607441,-0.034888134,0.3541545922493743,0.3622510014820475,0.9955794277831226,0.1980687124980064,0.9676694173543384,0.9676749582170294,2.7884059091963804,23.87062290979788,8.90898183832998,44.1269510667658,-2498345.532,4996699.064141876,4996757.415538872,-0.094101449,0.2936738386273469,0.5419168189190542,0.1382028151129422,176.55623483657837,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Jakarta,2016,15992001,10286636,-1.280664156,0.2868733132557068,0.5381068218603009,-0.11286107,0.2174371907397487,0.6313719064547176,0.5205757141836925,0.5004682573824337,0.521137848853311,0.5211421514986224,4.625818559606705,4.751273315903815,1.7687506898900858,8.778214657747702,-30487662.91,60975333.82931213,60975392.179709,-1.753951535,7.531478860959204,2.744353997019919,2.3171659077186417,132.07171821594238,7,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Delhi,2016,15996000,26719965,-0.293817023,0.3150581726027059,-0.069345682,-0.078321656,0.4270696544867607,0.4826705233531468,0.6415372628877575,0.4287190394895449,0.6405928357089272,0.6405946829138177,3.921550189708713,2.779993205081792,1.0419298256143112,5.141037778118097,-24293127.86,48586263.71990221,48586322.0712992,-1.325455822,5.267117957378878,2.295020252062905,1.813440442701362,147.98803973197937,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Kigali,2023,15992001,1247551,0.0516986800278653,0.1418730550398509,-0.619814198,-0.079337074,0.5129217920713974,0.3498237103548657,0.8799943263426191,0.153805043149813,0.8830539717950243,0.8829974211725459,2.14262638080078,13.67897348371061,5.092185578166635,25.27387583768344,-8109036.271,16218080.542962097,16218138.893358966,-0.405416699,0.6634468693534121,0.8145224793419836,0.3924627724609388,154.5836718082428,11,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Conakry,2023,15996000,2110937,2.2808424041715254,0.0341070369633554,-0.046450576,-0.042293935,0.9072779381831948,0.4883894436383267,0.9332166467864016,0.3802879485129328,0.93369336084021,0.9336953900499064,3.5268012456618214,10.44773043443744,3.88962476324933,19.304577054746787,-6236154.562,12472317.123400709,12472375.474797703,-0.597913607,1.047526623275987,1.0234874807617274,0.4351723234023433,138.86425495147705,10,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Abuja,2023,15992001,3839646,0.3954236961038815,0.1576346768869898,-0.655233283,-0.022089205,0.5975876590576941,0.341811199905138,0.8344121210372226,0.3043976515526966,0.831358314697454,0.8313542142995214,2.89178536388574,7.750843365515118,2.8855408691675235,14.319235667502936,-12416878.34,24833764.679922976,24833823.030319847,-0.711260264,1.6939553214634269,1.3015203884163424,0.7844572113836826,141.65850734710693,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
